Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA
P1,12/08/2024,06:00:00 PM,Casa Pia,AVS,1,1,D,1,0,H,11,7,5,3,13,14,6,3,0,4,0,0,1.83,3.33,4.84,2.25,1.66,1.84,2.02
P1,12/09/2024,08:15:00 PM,Estrela,Arouca,2,1,H,0,1,A,10,10,2,4,13,19,2,7,4,2,0,0,2.58,3.15,2.9,2.22,1.68,1.82,2.05
P1,12/14/2024,03:30:00 PM,Farense,Gil Vicente,0,1,A,0,0,D,15,7,2,2,13,15,7,1,3,2,0,1,2.86,2.97,2.76,2.33,1.63,1.97,1.9
P1,12/14/2024,06:00:00 PM,Nacional,Moreirense,1,0,H,0,0,D,12,4,5,1,14,16,10,2,0,3,0,0,2.84,3.09,2.68,2.31,1.64,2,1.88
P1,12/14/2024,08:30:00 PM,Sp Lisbon,Boavista,3,2,H,1,1,D,20,8,7,2,16,11,10,1,3,3,0,0,1.07,13.05,20.77,1.24,4,1.96,1.88
P1,12/15/2024,03:30:00 PM,Arouca,Santa Clara,1,0,H,0,0,D,12,5,3,1,17,18,7,2,2,2,0,0,3.28,3.06,2.39,2.41,1.57,1.83,2.03
P1,12/15/2024,06:00:00 PM,AVS,Benfica,1,1,D,0,1,A,18,13,7,4,8,13,0,3,2,2,0,0,15.34,7.67,1.16,1.55,2.44,1.91,1.93
P1,12/15/2024,08:30:00 PM,Estoril,Casa Pia,0,2,A,0,0,D,14,10,5,4,14,16,5,4,4,3,0,0,2.65,3.1,2.87,2.29,1.64,1.85,2.01
P1,12/16/2024,06:45:00 PM,Sp Braga,Famalicao,3,3,D,0,1,A,21,10,8,8,12,14,10,3,0,1,0,0,1.49,4.32,6.59,1.86,1.98,1.83,2.04
P1,12/16/2024,08:15:00 PM,Porto,Estrela,2,0,H,1,0,H,12,3,4,0,17,19,11,4,0,3,0,1,1.13,8.89,17.94,1.45,2.7,1.94,1.89
P1,12/16/2024,08:45:00 PM,Rio Ave,Guimaraes,2,2,D,2,0,H,5,16,4,5,9,13,0,2,2,1,0,0,3.82,3.24,2.08,2.27,1.65,2.08,1.78
P1,12/19/2024,05:00:00 PM,Nacional,Benfica,0,2,A,0,0,D,5,16,1,7,12,9,4,11,2,4,0,0,10.8,6.4,1.23,1.44,2.76,1.96,1.88
P1,12/20/2024,08:15:00 PM,Casa Pia,Arouca,3,1,H,2,0,H,10,9,6,4,9,12,3,4,2,3,0,0,2.4,2.95,3.6,2.54,1.56,2.02,1.89
P1,12/21/2024,03:30:00 PM,Famalicao,Farense,1,2,A,0,1,A,11,7,1,5,5,19,7,4,3,6,0,0,1.78,3.42,5.01,2.22,1.68,2.06,1.83
P1,12/21/2024,06:00:00 PM,Boavista,AVS,0,0,D,0,0,D,15,7,4,1,9,14,5,1,1,2,0,0,2.3,3.12,3.39,2.42,1.58,1.97,1.9
P1,12/21/2024,08:30:00 PM,Moreirense,Porto,0,3,A,0,1,A,7,12,1,7,17,12,2,4,3,4,0,0,6.46,4.26,1.5,2.06,1.81,2,1.88
P1,12/22/2024,05:00:00 PM,Santa Clara,Sp Braga,0,2,A,0,0,D,12,12,6,5,14,15,2,2,3,5,1,0,3.2,3.2,2.35,2.23,1.67,1.84,2.02
P1,12/22/2024,08:30:00 PM,Gil Vicente,Sp Lisbon,0,0,D,0,0,D,3,14,1,7,12,11,3,8,3,1,0,0,7.75,5.41,1.34,1.53,2.53,1.84,2.02
P1,12/23/2024,06:45:00 PM,Benfica,Estoril,3,0,H,1,0,H,15,10,6,2,11,13,4,1,1,1,0,0,1.08,12.23,23.2,1.32,3.33,1.86,1.97
P1,12/23/2024,06:45:00 PM,Guimaraes,Nacional,2,2,D,1,1,D,16,8,3,2,15,11,7,1,1,1,0,0,1.54,4.07,6.16,1.95,1.88,1.96,1.89
P1,12/23/2024,08:45:00 PM,Estrela,Rio Ave,1,0,H,1,0,H,8,19,4,6,17,16,5,6,4,3,0,0,2.38,3.21,3.15,2.13,1.73,2.04,1.83
P1,12/27/2024,08:15:00 PM,Arouca,Gil Vicente,1,1,D,0,0,D,10,7,5,3,21,11,5,7,0,1,0,0,2.39,3.12,3.39,2.44,1.6,2.03,1.88
P1,12/28/2024,03:30:00 PM,AVS,Estrela,1,1,D,0,1,A,12,16,6,5,13,12,7,6,2,2,0,0,2.5,3.08,3.07,2.33,1.63,2.14,1.76
P1,12/28/2024,06:00:00 PM,Estoril,Moreirense,2,2,D,2,1,H,15,8,7,5,17,14,6,2,2,2,0,0,3.22,3.02,2.45,2.55,1.53,1.8,2.09
P1,12/28/2024,08:30:00 PM,Porto,Boavista,4,0,H,1,0,H,13,4,7,1,12,15,4,1,4,2,0,0,1.11,9.45,19.48,1.42,2.85,1.87,1.99
P1,12/29/2024,03:30:00 PM,Farense,Guimaraes,2,2,D,1,0,H,6,27,2,12,12,15,6,9,2,3,0,0,4.2,3.55,1.88,2.1,1.75,1.97,1.88
